Time,x,y,z
1190610,-178.68614758869614,-1.0874550161240852,-125.88131941409813
1190804,-178.67370446208847,-1.0783590247587698,-125.86569167336206
1190904,-178.66742219529348,-1.0814023992261301,-125.87519802138267
1191004,-178.6734602739562,-1.0781371351349711,-125.88756102740975
1191103,-178.66727304710733,-1.081221814018013,-125.89083747518369
1191209,-178.6671772696858,-1.0811793847560527,-125.89706705491041
1191311,-178.6640923894989,-1.0749935163105933,-125.89079487187995
1191412,-178.6734602739562,-1.0781371351349711,-125.88756102740975
1191512,-178.6641451527342,-1.0751317941353002,-125.88138457010777
1191613,-178.6641451527342,-1.0751317941353002,-125.88138457010777
1191809,-178.67045370541948,-1.087450111713919,-125.89087973274557
1192034,-178.67045370541948,-1.087450111713919,-125.89087973274557
1192133,-178.68599764084632,-1.087276980053894,-125.89695938387152
1192251,-178.6860932276839,-1.0873182170650344,-125.89072978021755
1192352,-178.68294828609686,-1.0966854828855688,-125.89709647237521
1192454,-178.67353808616477,-1.0936366715978953,-125.89715124984576
1192608,-178.67048870421795,-1.1030451306105593,-125.89728953078175
1192709,-178.68294828609686,-1.0966854828855688,-125.89709647237521
1192809,-178.68289327089008,-1.096548168195667,-125.9065064345711
1192910,-178.68281720676933,-1.081048325122895,-125.89691796022286
1193101,-178.68281720676933,-1.081048325122895,-125.89691796022286
1193257,-178.67355571764483,-1.078179300607998,-125.88133154373402
1193359,-178.68291254315807,-1.0810899079009515,-125.89068836924729
1193458,-178.66105918768804,-1.0689466868005455,-125.875112521386
1193558,-178.67027925783984,-1.0719085814276947,-125.88751867521343
1193658,-178.6484672675844,-1.0596719280498212,-125.87512059819521
1193757,-178.64851837557032,-1.0598110744233011,-125.86570994342682
1193858,-178.67024119240273,-1.0563139481092279,-125.88110896857657
1193958,-178.67020138444659,-1.040720146404223,-125.87469962352493
1194059,-178.6392102794008,-1.0413573041679154,-125.84370851847915
1194207,-178.6642528284918,-1.0597188904968162,-125.8593350372878
1194358,-178.63949795709698,-1.0417260696556405,-125.8124302573051
1194458,-178.6797979235077,-1.059540337619338,-125.86541748440253
1194656,-178.64229880378102,-1.0475395931902796,-125.84998154845674
1194780,-178.64229880378102,-1.0475395931902796,-125.84998154845674
1194879,-178.64258307033634,-1.0633605442149165,-125.83452590955542
1194979,-178.6612589343937,-1.06926645855938,-125.85006205754003
1195079,-178.66135424553588,-1.0693095010146372,-125.8438338274515
1195206,-178.66150184820467,-1.069490847045466,-125.82819453613136
1195305,-178.655230965456,-1.0727699842901677,-125.82510582927495
1195498,-178.65836234342447,-1.0788579305808927,-125.8345609276535
1195598,-178.64909014711776,-1.0914511878784774,-125.83479671926152
1195698,-178.6244368048634,-1.0889641969365196,-125.79749437027975
1195797,-178.67368891624383,-1.0938164002445592,-125.88151130227979
1196005,-178.63914670780835,-1.0723576888750321,-125.87217428412531
1196105,-178.58022369312664,-1.0488110973735127,-125.79422962013291
1196205,-178.63282797288144,-1.059805948361157,-125.8752668443893
1196308,-178.60455883579758,-1.0353128404297551,-125.85640588647252
